product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
0850000547568,MINI FRUIT BARS,That's it.,60.0,,12.0,10.0,0.0,0.0,0.0,2.0,37.5,15.0,7.0,3.0,95.0
6111032007531,Jibi “Fraise pops”,,66.0,,10.0,5.0,1.5,1.0,2.9,,0.0,0.0,,,0.0
8001665717892,Spinach & Mozzarella Filled Pan-Fry Gnocchi,Rana,229.0,,37.0,1.9,5.2,1.7,6.0,4.9,1.7,0.68,9.0,4.0,0.0
6191509910014,Huile d'olive extra vierge zero résidu de pesticides,Terra Delyssa,821.0,3374.0,0.0,0.0,91.2,19.3,0.0,0.0,0.0,0.0,2.0,2.0,100.0
8720182674937,Tomato ketchup,Hellmann's,86.0,,19.0,18.0,0.5,0.1,1.3,,1.8,0.72,12.0,4.0,79.3
5000168040097,Jaffa cakes,"McVities, McVitie's",41.0,,7.6,5.4,0.9,0.4,0.5,0.2,0.03,0.012,22.0,4.0,0.75
3830074230365,Thick-cut Filet,Juicy marbles,156.0,653.0,2.4,1.3,7.0,0.8,18.0,5.9,0.78,0.312,-6.0,4.0,2.5
8695077099082,Gikolatati,,532.0,,60.5,,29.3999996185303,18.8999996185303,6.30000019073486,,,,,,
5060415520802,Plain Naan Bread,Riya's,230.0,,47.0,0.5,0.9,0.3,6.8,2.8,0.9825,0.393,4.0,3.0,2.67857142857143
8412600019689,Takis Queso Volcano 100g,Barcel,499.0,2084.0,53.0,3.3,27.0,10.0,5.8,8.5,1.6,0.64,17.0,4.0,0.0
6111126005405,Lait de chevre,Chergui,53.0,,3.5,2.4,3.1,2.2,2.9,,0.0,0.0,2.0,,
4056489760740,"Salade veggie boulgour, légumes, lentilles, graines de courge",Select&go,162.0,677.0,18.0,1.4,6.7,0.6,5.3,4.1,0.7,0.28,2.0,3.0,30.5
5056215600431,"Brown, Red & Wild Wholegrain Rice",Merchant Gourmet,157.0,,29.0,0.2,2.5,0.4,3.0,2.6,0.01,0.004,1.0,3.0,0.397614314115311
4056489753919,Vollmilch extra cremig 30%,"J.D. Gross, Lidl",563.0,,52.0,50.7,35.8,22.4,7.3,,0.1,0.04,31.0,4.0,0.0
6111255091683,6111255091683,,,,,,,,,,,,,,
6111260961759,Bimbo maxi tacos,Bimbo,162.0,,26.0,2.0,3.9,0.6,4.7,1.2,0.7875,0.315,6.0,4.0,11.25
3518646124655,physiolac,Gilbert,,,,,,,,,,,,4.0,0.000186082793447895
8402001013928,Caldo Cocido,Hacendado,4.0631,17.0,1.0,0.5,0.0,0.0,0.0,0.0,0.885,0.354,4.0,,0.0
3168930173403,Doritos saveur Barbecue,Doritos,496.0,1998.0,58.0,3.7,25.0,3.1,6.0,5.7,1.8,0.72,14.0,,0.0
6111252670096,Amlou à base d’Arachide,,,,,0.0,,0.0,,,,,,,
3560071469641,Galettes épeautre,"Carrefour BIO, Carrefour",361.0,1526.0,61.0,0.8,1.9,0.4,20.0,11.0,0.24,0.096,-7.0,3.0,0.0
3329770087880,Brassé a la grecque,Yoplait,79.0,,3.0,3.0,5.5,3.7,3.3,,0.12,0.048,2.0,1.0,0.0
0111121112111,Spring rolls,Summ,250.0,,29.0,4.0,12.0,1.0,7.0,3.0,,,,,
6111259733817,oni,,,,,,,,,,,,,,
6111180001863,,,,,,,,,,,,,,,
4056489955160,Confiture fraises allégée en sucres,Maribel,169.0,,39.9,38.4,0.2,0.1,0.5,2.0,0.01,0.004,11.0,4.0,76.28125
4056489917601,Bio biscuits à l'avoine,Sondey,479.0,2004.0,55.6,26.8,23.0,13.7,8.5,7.9,0.91,0.364,21.0,4.0,0.0
8480000054807,Pepinillos agridulces,Hacendado,56.0,,11.0,11.0,0.5,0.4,0.9,1.0,2.2625,0.905,9.0,1.0,100.0
4056489843245,Lait demi-écrémé,Lidl,47.0,,4.8,4.8,1.6,1.0,3.3,0.0,0.1,0.04,-1.0,,
20046538,Mélange de fruits secs,LIDL,646.0,2670.0,6.4,4.2,58.0,6.4,20.4,8.5,0.01,0.004,9.0,,
4056489762720,High protein milk chocolate crisp,Fincarre,506.0,,27.0,7.9,32.0,19.0,30.0,6.3,0.53,0.212,,4.0,0.0
3068320130132,Badoit fruits rouges,Badoit,21.0,86.0,4.7,4.6,0.5,0.0,0.5,0.0,0.06,0.024,4.0,4.0,5.0
3329770087675,Brassé nature,Yoplait,66.0,,4.1,4.1,3.3,2.2,4.0,,0.15,0.06,4.0,1.0,0.0
4061459385779,Solesta Olive Oil,Aldi,823.0,,0.0,0.0,91.4,13.1,0.0,0.0,0.0,0.0,0.0,,20.8333333333333
5059319032931,Crunchy Nut,Kellogg’s,398.0,1665.0,82.0,35.0,4.5,0.7,6.0,2.5,1.875,0.75,23.0,3.0,24.25
6223013530232,6223013530232,,,,,,,,,,,,,,
5000159562034,Celebrations,Mars Foods,135.0,566.0,17.0,15.0,6.7,3.8,1.5,,0.11,0.044,33.0,4.0,0.29296875
6221155081520,,,,,,,,,,,,,,,
6111028000621,,,,,,,,,,,,,,,
6111270630119,Baking Powder,Alsa,83.0,,20.0,0.0,0.16,0.0,0.1,0.03,117.5,47.0,21.0,,
5111129000088,,,,,,,,,,,,,0.0,1.0,
3564700002841,Jus d'orange pour jus,"Marque Repère, Jafaden",45.0,166.0,9.2,9.2,0.5,0.1,0.5,0.5,0.01,0.004,5.0,1.0,100.0
3392460482005,Les gourmands Pelletier Biscottes Tradition,"LU, Mondelez, Pelletier",414.0,,69.0,5.9,8.9,3.9,12.0,4.2,1.43,0.572,14.0,4.0,0.0
3017760329798,Pockitos Chocolat au lait,"Lu,Mondelez,Pépito",154.0,,17.0,11.0,8.6,4.7,1.6,0.9,0.0775,0.031,27.0,4.0,3.66666666666667
3155251208082,Beurrier saveur gastronomique doux,"Lactalis, Président",745.0,,1.0,1.0,82.0,57.0,0.7,,0.03,0.012,20.0,2.0,0.0
3168930007340,Bénénuts cacahuètes grillées & salées,Bénénuts,631.0,2610.0,5.8,4.8,54.0,8.9,27.0,7.7,1.0,0.4,4.0,3.0,74.5
3284230004282,6 Pains au chocolat Bio pur beurre 270g,"La Boulangère Bio, La boulangere",411.0,1721.0,46.0,14.0,21.0,14.0,8.0,3.2,0.89,0.356,18.0,4.0,0.0
3228024930050,President emmental coeur de meule 400g,Président,369.0,1532.0,0.5,0.5,29.0,21.0,27.0,0.0,0.6,0.24,9.0,3.0,0.0
3580281210253,Amandes décortiquées,B&S,645.0,,21.0,4.2,50.0,3.8,21.0,12.0,0.0,0.0,-10.0,1.0,100.0
4002359648618,Lait de coco,Suzi Wan,191.0,789.0,3.1,2.4,19.0,18.0,2.1,0.5,0.04,0.016,15.0,4.0,64.0
3700279301484,Crème Dessert Praliné,"Crème Dessert, MONT BLANC",126.0,531.0,20.0,14.0,3.9,2.2,2.9,0.5,0.14,0.056,5.0,4.0,0.0
3017760667890,Belin best of,Belin,512.0,,55.0,6.7,27.0,12.0,9.6,3.3,2.0,0.8,25.0,4.0,5.5
3700123300014,Pure life,Nestlé,,,,,,,,,1.175,0.47,0.0,1.0,0.0
3564700426579,,"Marque Repère, Douceur du Verger",162.0,694.0,39.9,39.1,0.5,0.1,0.4,1.1,0.0,0.0,12.0,4.0,60.0
3029330070047,Burger creation graines x4 260g,Jacquet,295.0,1243.0,47.0,7.9,7.0,2.0,8.4,5.3,1.1,0.44,8.0,4.0,4.5
3336971307051,Monster Munch goût Jambon Fromage,"Intersnack, Monster Munch, Vico",487.0,2039.0,65.0,4.5,23.0,2.9,4.7,2.4,2.0,0.8,18.0,4.0,0.0
3175681228382,"Gerblé - Sugar Free Orange Chocolate Chip Shortbread, 132g (4.7oz)",Gerblé,435.0,,72.0,0.5,16.0,2.1,6.4,3.2,0.22,0.088,5.0,4.0,25.0
3168930000877,,Lays,551.0,2305.0,53.0,0.5,34.0,4.2,6.3,4.2,1.1,0.44,13.0,3.0,8.5
3259426038693,Quatre-Quarts pur beurre,Ker Cadélac,423.0,1768.0,47.0,30.0,23.0,16.0,6.0,,1.3,0.52,29.0,4.0,0.0
3390390000122,Purée amande complète,Jean Hervé,665.0,,5.1,4.6,58.3,4.9,21.8,12.0,0.02,0.008,-10.0,1.0,100.0
3542860692010,Comté 15 mois,Jura flore,418.0,1750.0,0.0,0.0,35.0,22.0,27.0,0.0,0.9,0.36,12.0,3.0,0.0
3564700001226,Lentilles vertes,"Marque Repère,Notre Jardin,Scamark (Filiale E. Leclerc)",,1296.0,37.0,2.0,1.1,0.2,26.0,23.0,0.0,0.0,-15.0,1.0,100.0
3088866510052,Brossard - le cake aux fruits 300gr,Brossard,370.0,1550.0,55.0,36.0,14.0,1.2,3.7,4.2,0.25,0.1,14.0,4.0,46.0
5942219000059,"Borsec, regina apelor minerale apă minerală, natura carbogozoasă",Borsec,,,,,,,,,150.0,60.0,0.0,1.0,0.0
3259426030666,Madeleines extra moelleuses,Ker Cadélac,465.0,1928.0,50.0,28.0,27.0,2.6,4.9,,1.0,0.4,19.0,4.0,22.6666666666667
3700009252567,Salade Snacking Bol Caesar 250g MIX,Mix buffet,163.0,681.0,14.0,1.3,8.2,1.6,7.5,1.6,0.52,0.208,2.0,4.0,8.9
3036811460280,velouté de tomates,Liebig,36.0,140.0,5.6,2.9,0.8,0.4,0.8,1.6,0.6,0.24,0.0,3.0,68.0
