product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
0011210697003,Sriracha Sauce🙂,"TABASCO, Haugen - gruppen as",140.0,596.01,31.6,0.9,0.45,0.0,2.48,0.0,7.8,0.134,,4.0,8.0,0.028481012658227847,Low,Low Sugar,Yes
6111242106673,Jutos,Jaouda,40.0,171.0,10.0,8.5,0.0,0.0,0.0,2.5,0.02,0.008,,3.0,12.49,0.85,Low,Low Sugar,No
4056489608264,Huile d'olive bio,PRIMADONNA,828.0,3404.0,0.0,0.0,92.0,14.0,0.0,2.5,0.0,0.0,,2.0,100.0,0.0,High,Low Sugar,No
3560071276539,Tableta chocolate negro 85%,Carrefour BIO,631.0,2610.0,20.0,15.0,55.0,34.0,9.1,12.0,0.01,0.004,,3.0,0.2653808593749965,0.75,High,Low Sugar,No
8445290114594,Crousti fondant choco-noisettes,"Nestlé, Nat",452.0,1896.0,62.8,17.5,17.4,2.4,7.7,6.2,0.22,0.088,,4.0,0.2653808593749965,0.2786624203821656,Moderate,Low Sugar,Yes
3487400006929,Riz à la Méditerranéenne,Ben's Original,168.0,707.9,30.0,2.1,3.3,0.2,3.8,1.4,0.53,0.212,,4.0,0.787109375,0.07,Low,Low Sugar,Yes
8001665712859,Plaisir du Primeur -  Girasoli cèpes,Rana,250.0,1048.0,32.0,5.7,8.4,2.4,8.7,5.5,1.1,0.44,,4.0,25.0,0.178125,Low,Low Sugar,Yes
3610340670909,Ganier,Ganier,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.0,0.25943396226415094,Low,Low Sugar,Yes
8901058017687,maggi,Maggi,384.0,1194.0,59.4,1.8,12.5,8.2,8.2,2.5,2.5,1.0,,4.0,0.2653808593749965,0.030303030303030304,Moderate,Low Sugar,Yes
3183280012875,Sel de mer,La baleine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,39.0,,2.0,0.0,0.0,Low,Low Sugar,No
20023775,Taboulé à l’orientale,Saladinettes,183.0,766.0,25.0,5.4,6.7,0.8,4.5,2.1,0.9,0.36,,3.0,45.75,0.21600000000000003,Low,Low Sugar,No
3178530410136,Madeleines aux œufs de poules élevées en plein air,St Michel,476.0,1988.0,52.0,22.0,27.0,2.5,5.7,1.0,0.88,0.352,,4.0,24.5,0.4230769230769231,Moderate,Moderate Sugar,Yes
3088540502663,Miel de Montagne,"Bernard Michaud, L'Apiculteur",286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.0,0.25943396226415094,Low,Low Sugar,Yes
8480000205599,Yogur griego natural,Hacendado,129.0,540.0,3.9,3.9,10.8,6.7,3.9,0.0,0.12,0.048,,3.0,0.0,1.0,Low,Low Sugar,No
3664346306126,Super Poulain,Poulain,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.2653808593749965,0.25943396226415094,Low,Low Sugar,Yes
3760049791266,6 pains suedois 180g,La Boulangère,288.0,1216.0,54.0,11.0,2.8,0.3,8.9,5.4,0.96,0.384,,4.0,0.405681818181819,0.2037037037037037,Low,Low Sugar,Yes
3088866541056,Brossard le cake à l'anglaise,Brossard,351.0,1476.4,61.0,37.0,9.3,1.0,4.1,3.2,0.33,0.132,,4.0,44.0625480651855,0.6065573770491803,Moderate,Moderate Sugar,Yes
5411188131380,"Alpro Fermentiertes Kokosnussprodukt, Natur, Absolutely 350g","Alpro,Danone",84.0,348.0,6.0,0.6,6.1,5.7,0.6,0.0,0.07,0.028,,4.0,80.0,0.09999999999999999,Low,Low Sugar,Yes
3280241101002,Douceur de brebis nature,Le Petit Basque,132.0,543.4,5.4,3.3,10.0,7.0,4.8,2.5,0.11,0.044,,3.0,0.0,0.611111111111111,Low,Low Sugar,No
3664346326872,Poulain Grand Arôme intense 70% de cacao,Poulain,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.2653808593749965,0.25943396226415094,Low,Low Sugar,Yes
3250391660995,Pâte à tartiner 18.5% Bio - 350g,"Ivoria, Intermarché",538.0,2245.0,53.0,52.0,32.0,7.9,7.6,3.8,0.13,0.052,,4.0,18.5,0.9811320754716981,High,High Sugar,Yes
3175681210981,Façon Chili,Céréal Bio,111.0,465.2,8.9,2.3,3.5,0.4,7.6,6.9,0.66,0.264,,3.0,36.5807638888889,0.2584269662921348,Low,Low Sugar,No
3175681188389,Sablés Myrtilles Germes de riz,Gerblé,54.0,288.0,7.9,1.9,2.0,0.2,0.9,0.5,0.05,0.02,,4.0,25.2,0.24050632911392403,Low,Low Sugar,Yes
3560071005214,90% cacao noir,Carrefour,622.0,2569.0,16.0,9.7,54.0,34.0,12.0,13.0,0.03,0.012,,4.0,0.0,0.60625,High,Low Sugar,Yes
3250391422715,L'intense chocolat noir 85%,"Intermarché, Ivoria, Les créations",601.0,2486.0,22.0,13.0,49.0,30.0,11.0,14.0,0.0,0.0,,3.0,0.0,0.5909090909090909,High,Low Sugar,No
3270160193301,4 filets de cabillaud panure croustillante,Picard,193.0,809.0,17.0,1.8,8.1,0.9,12.0,1.3,0.46,0.184,,4.0,0.95703125,0.10588235294117647,Low,Low Sugar,Yes
6111017046470,délice noir,Aiguebelle,534.0,2226.0,47.0,44.0,36.0,22.0,5.2,2.5,0.011,0.0044,,4.0,0.2653808593749965,0.9361702127659575,High,High Sugar,Yes
6111032006985,Danao Pèche-Abricot,Danone,37.0,156.77,8.7,7.9,0.01,0.01,0.5,2.5,0.0,0.0,,4.0,3.955,0.9080459770114944,Low,Low Sugar,Yes
